Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days,Age,Family_Size,Money_Spent,Essential_Share,Luxury_Share,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Has_Partner_Single,Has_Kids_1,cluster,Cluster,Total_Promos
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,83894400000000000,68,1,1617,0.49845392702535557,0.05442176870748299,0,1,0,0,1,0,1,1,0
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,10800000000000000,71,3,27,0.3333333333333333,0.2222222222222222,0,1,0,0,1,1,2,2,0
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,40780800000000000,60,2,776,0.3698453608247423,0.05412371134020619,0,1,0,0,0,0,1,1,0
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,5616000000000000,41,3,53,0.6415094339622641,0.09433962264150944,0,1,0,0,0,1,2,2,0
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,27734400000000000,44,3,422,0.490521327014218,0.035545023696682464,0,0,0,1,0,1,2,2,0
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,39139200000000000,58,3,716,0.19553072625698323,0.019553072625698324,0,0,1,0,0,1,0,0,0
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,65059200000000000,54,2,590,0.4728813559322034,0.04576271186440678,0,1,0,0,1,1,0,0,0
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,42163200000000000,40,3,169,0.40828402366863903,0.13609467455621302,0,0,0,1,0,1,2,2,0
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,47347200000000000,51,3,46,0.5869565217391305,0.043478260869565216,0,0,0,1,0,1,2,2,0
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,23155200000000000,75,4,49,0.14285714285714285,0.2653061224489796,0,0,0,1,0,1,2,2,1
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,65059200000000000,49,2,61,0.6229508196721312,0.26229508196721313,1,0,0,0,0,0,2,2,0
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,33350400000000000,66,1,1102,0.6950998185117967,0.02722323049001815,0,1,0,0,1,0,1,1,0
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,33350400000000000,73,3,310,0.1870967741935484,0.04516129032258064,0,0,1,0,1,1,0,0,0
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,67996800000000000,38,2,46,0.8043478260869565,0.10869565217391304,0,1,0,0,0,0,2,2,0
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,64108800000000000,79,1,1315,0.14904942965779466,0.034220532319391636,0,0,0,1,1,0,1,1,2
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,61516800000000000,45,4,96,0.2708333333333333,0.041666666666666664,0,1,0,0,0,1,2,2,0
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,71452800000000000,79,2,317,0.6088328075709779,0.08832807570977919,0,1,0,0,0,0,2,2,0
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,53395200000000000,76,3,1782,0.32435465768799104,0.09876543209876543,0,0,1,0,0,1,0,0,1
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,86400000000000000,40,2,133,0.49624060150375937,0.2932330827067669,0,0,0,0,1,1,2,2,0
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,73440000000000000,43,2,316,0.45569620253164556,0.1518987341772152,0,1,0,0,0,0,2,2,0
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,47779200000000000,46,3,1730,0.9982658959537573,0.0005780346820809249,0,1,0,0,0,1,1,1,0
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,61603200000000000,76,3,972,0.08847736625514403,0.01954732510288066,0,0,0,1,0,1,0,0,1
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,3024000000000000,71,3,544,0.2261029411764706,0.009191176470588236,0,0,0,1,0,1,0,0,0
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,54259200000000000,74,3,444,0.1554054054054054,0.22297297297297297,0,1,0,0,0,1,0,0,0
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,58147200000000000,56,1,75,0.5866666666666667,0.17333333333333334,0,1,0,0,1,0,2,2,0
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,48211200000000000,49,4,257,0.14396887159533073,0.15953307392996108,0,1,0,0,0,1,2,2,0
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,47865600000000000,36,3,131,0.48854961832061067,0.07633587786259542,0,1,0,0,0,1,2,2,0
